bnf_key,bnf_code_branded,bnf_name_branded,drug_dressing_appliances_branded,form_branded,dosage_branded,chem_name_branded,nic_sum_branded,items_sum_branded,nic_per_item_branded,bnf_code_generic,bnf_name_generic,drug_dressing_appliances_generic,form_generic,dosage_generic,chem_name_generic,nic_sum_generic,items_sum_generic,nic_per_item_generic,diff_branded_to_generic
0906040G0BW,0906040G0BRABBW,Calcichew D3 Fte_Tab Chble,Calcichew D3 Fte,Tab,Chble,Colecalciferol,16989.43,4190,4.054756563245824,0906040G0AABWBW,Colecal & Calc_Tab Chble 400u/1.25g,Colecal & Calc,Tab,Chble 400u/1.25g,Colecalciferol,13290.67,3428,3.8770915985997667,0.17766496464605686
0601012V0AD,0601012V0BBAEAD,Ins Lantus SoloStar_100u/ml 3ml Pf Pen,Ins Lantus SoloStar,100u/ml,3ml Pf Pen,Insulin Glargine,204116.49,4112,49.63922422178988,0601012V0AAADAD,Ins Glargine_Inj 100u/ml 3ml Pf Pen,Ins Glargine,Inj,100u/ml 3ml Pf Pen,Insulin Glargine,17056.9,356,47.91264044943821,1.726583772351674
130201000CA,130201000BBJGCA,Doublebase_Gel,Doublebase,Gel,NA,Other Emollient Preps,26081.51,4010,6.504117206982543,130201000AACACA,Liq Paraf/Isopropyl Myrist_Gel 15%/15%,Liq Paraf/Isopropyl Myrist,Gel,15%/15%,Other Emollient Preps,2958.99,439,6.740296127562642,-0.23617892058009904
0601011A0AC,0601011A0BBADAC,Ins NovoRapid_FlexPen 100u/ml 3ml Pf Pen,Ins NovoRapid,FlexPen,100u/ml 3ml Pf Pen,Insulin Aspart,171482.4,3980,43.086030150753764,0601011A0AAACAC,Ins Aspart_Inj 100u/ml 3ml Pf Pen,Ins Aspart,Inj,100u/ml 3ml Pf Pen,Insulin Aspart,795.6,22,36.163636363636364,6.9223937871174
0906040G0CA,0906040G0BNABCA,Adcal-D3_Tab Chble (Lem),Adcal-D3,Tab,Chble (Lem),Colecalciferol,14766.47,3951,3.73740065806125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0410030C0AF,0410030C0BFABAF,Physeptone_Oral Soln 1mg/ml S/F,Physeptone,Oral,Soln 1mg/ml S/F,Methadone Hydrochloride,25106.75,3894,6.447547508988187,0410030C0AAAFAF,Methadone HCl_Oral Soln 1mg/1ml S/F,Methadone HCl,Oral,Soln 1mg/1ml S/F,Methadone Hydrochloride,18122.73,3688,4.913972342733189,1.5335751662549981
0101021B0AL,0101021B0BEAIAL,Gaviscon Advance_Liq (Aniseed) (Reckitt),Gaviscon Advance,Liq,(Aniseed) (Reckitt),Alginic Acid Compound Preparations,22693.51,3739,6.06940625835785,0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F,Sod Algin/Pot Bicarb,Susp,S/F,Alginic Acid Compound Preparations,7716.06,1372,5.623950437317784,0.4454558210400652
0407020Q0EF,0407020Q0BKAAEF,Zomorph_Cap 10mg,Zomorph,Cap,10mg,Morphine Sulfate,12624.75,3529,3.5774298668177953,0407020Q0AAEFEF,Morph Sulf_Cap 10mg M/R,Morph Sulf,Cap,10mg M/R,Morphine Sulfate,2226.78,557,3.997809694793537,-0.4203798279757418
130201000AL,130201000BBBAAL,E45_Crm,E45,Crm,NA,Other Emollient Preps,21897.91,3426,6.391684179801517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1202010W0AA,1202010W0BBAAAA,Avamys_Nsl Spy 27.5mcg (120D),Avamys,Nsl,Spy 27.5mcg (120D),Fluticasone Furoate,24459.12,3423,7.1455214723926375,1202010W0AAAAAA,Fluticasone Fur_Nsl Spy 27.5mcg (120D),Fluticasone Fur,Nsl,Spy 27.5mcg (120D),Fluticasone Furoate,20955.68,2921,7.174145840465594,-0.028624368072956763
1108010B0AB,1108010B0BBAAAB,Viscotears_Liq Gel 2mg/g,Viscotears,Liq,Gel 2mg/g,Carbomer 940/980,7792.59,3417,2.280535557506585,1108010B0AAABAB,Carbomer 980_Gel Eye Dps 0.2%,Carbomer 980,Gel,Eye Dps 0.2%,Carbomer 940/980,8128.36,2074,3.9191706846673093,-1.6386351271607245
0302000V0AB,0302000V0BBABAB,Relvar Ellipta_Inha 92mcg/22mcg (30 D),Relvar Ellipta,Inha,92mcg/22mcg (30 D),Fluticasone Fuorate (Inh),88197.71,3354,26.296276088252835,0302000V0AAABAB,Fluticasone/Vilanterol_Inha 92/22mcg 30D,Fluticasone/Vilanterol,Inha,92/22mcg 30D,Fluticasone Fuorate (Inh),9614,391,24.58823529411765,1.7080407941351865
130201000A4,130201000BBAFA4,Diprobase_Crm,Diprobase,Crm,NA,Other Emollient Preps,23617.84,3321,7.111665161096055,130201000AAA4A4,Gppe Crm_Diprobase,Gppe Crm,Diprobase,NA,Other Emollient Preps,6.32,1,6.32,0.7916651610960548
1404000S0AD,1404000S0BEAAAD,Typhim VI_Vac 0.5ml Pfs,Typhim VI,Vac,0.5ml Pfs,Typhoid,36982.69,3314,11.159532287266144,1404000S0AAADAD,Typh_Vac 25mcg/0.5ml Pfs,Typh,Vac,25mcg/0.5ml Pfs,Typhoid,1439.64,129,11.16,-4.677127338563736e-4
0703021Q0AA,0703021Q0BDAAAA,Cerelle_Tab 75mcg,Cerelle,Tab,75mcg,Desogestrel,17721.99,3282,5.399753199268739,0703021Q0AAAAAA,Desogestrel_Tab 75mcg,Desogestrel,Tab,75mcg,Desogestrel,25150.01,7415,3.391774780849629,2.00797841841911
1003020P0AI,1003020P0BGABAI,Fenbid Fte_Gel 10%,Fenbid Fte,Gel,10%,Ibuprofen,14123.96,3237,4.363286994130367,1003020P0AAAIAI,Ibuprofen_Gel 10%,Ibuprofen,Gel,10%,Ibuprofen,22173.23,3484,6.364302525832376,-2.0010155317020093
0601060D0A0,0601060D0CCAAA0,Aviva (Reagent)_Strips,Aviva (Reagent),Strips,NA,Glucose Blood Testing Reagents,155686.84,3210,48.50057320872274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0906040G0DI,0906040G0DGAADI,TheiCal D-3_Tab Chble 1000mg/880u,TheiCal D-3,Tab,Chble 1000mg/880u,Colecalciferol,8874.63,3052,2.907807994757536,0906040G0AADIDI,Colecal & Calc_Tab Chble 880u/2.5g,Colecal & Calc,Tab,Chble 880u/2.5g,Colecalciferol,1615.6599999999999,546,2.9590842490842486,-0.05127625432671268
0101021B0AL,0101021B0BEBEAL,Gaviscon Advance_Liq (Peppermint) S/F,Gaviscon Advance,Liq,(Peppermint) S/F,Alginic Acid Compound Preparations,18737.45,3035,6.173789126853378,0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F,Sod Algin/Pot Bicarb,Susp,S/F,Alginic Acid Compound Preparations,7716.06,1372,5.623950437317784,0.5498386895355933
0601012W0AB,0601012W0BBABAB,Ins NovoMix 30_FlexPen 100u/ml 3ml PfPen,Ins NovoMix 30,FlexPen,100u/ml 3ml PfPen,Biphasic Insulin Aspart,147351.35,2951,49.9326838359878,0601012W0AAABAB,Ins Biphasic Aspart_Inj 100u/ml 3mlPfPen,Ins Biphasic Aspart,Inj,100u/ml 3mlPfPen,Biphasic Insulin Aspart,29.89,1,29.89,20.042683835987802
0703022M0AB,0703022M0BBABAB,Depo-Provera_Inj 150mg/ml 1ml Pfs,Depo-Provera,Inj,150mg/ml 1ml Pfs,Medroxyprogesterone Acetate,17206.63,2851,6.035296387232551,0703022M0AAABAB,Medroxyprogest Acet_Inj 150mg/ml 1ml Pfs,Medroxyprogest Acet,Inj,150mg/ml 1ml Pfs,Medroxyprogesterone Acetate,7073.77,1175,6.020229787234043,0.01506659999850779
0302000C0BE,0302000C0BPAABE,Clenil Modulite_Inha 50mcg (200D),Clenil Modulite,Inha,50mcg (200D),Beclometasone Dipropionate,12298.74,2847,4.319894625922023,0302000C0AABEBE,Beclomet Diprop_Inha 50mcg (200 D) CFF,Beclomet Diprop,Inha,50mcg (200 D) CFF,Beclometasone Dipropionate,462.5,112,4.129464285714286,0.19043034020773764
0601011A0AB,0601011A0BBABAB,Ins NovoRapid_Penfill 100u/ml 3ml Cart,Ins NovoRapid,Penfill,100u/ml 3ml Cart,Insulin Aspart,134657.84,2838,47.44814658210007,0601011A0AAABAB,Ins Aspart_Inj 100u/ml 3ml Cart,Ins Aspart,Inj,100u/ml 3ml Cart,Insulin Aspart,2462.97,44,55.9765909090909,-8.52844432699083
1202010C0AA,1202010C0BBABAA,Beconase_Aq Nsl Spy 50mcg (200 D) 22g,Beconase,Aq,Nsl Spy 50mcg (200 D) 22g,Beclometasone Dipropionate,8334.47,2834,2.9408856739590683,1202010C0AAAAAA,Beclomet Diprop_Nsl Spy 50mcg (200 D),Beclomet Diprop,Nsl,Spy 50mcg (200 D),Beclometasone Dipropionate,19602.96,7279,2.693084214864679,0.2478014590943891
0703010F0AC,0703010F0BEAAAC,Microgynon 30_Tab,Microgynon 30,Tab,NA,Combined Ethinylestradiol 30mcg,12263.34,2796,4.386030042918455,0703010F0AAACAC,Ethinylest/Levonorgest_Tab 30/150mcg,Ethinylest/Levonorgest,Tab,30/150mcg,Combined Ethinylestradiol 30mcg,3094.25,738,4.192750677506775,0.19327936541168
0407020Q0CN,0407020Q0BCAGCN,Oramorph_Oral Soln 10mg/5ml,Oramorph,Oral,Soln 10mg/5ml,Morphine Sulfate,15104.9,2752,5.488699127906977,0407020Q0AACNCN,Morph Sulf_Oral Soln 10mg/5ml,Morph Sulf,Oral,Soln 10mg/5ml,Morphine Sulfate,31517.16,6166,5.11144339928641,0.37725572862056733
0601060D0A0,0601060D0CIAAA0,WaveSense JAZZ (Reagent)_Strips,WaveSense JAZZ (Reagent),Strips,NA,Glucose Blood Testing Reagents,42048.14,2697,15.590708194289952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302000K0AM,0302000K0BHAAAM,DuoResp Spiromax_Inh 160mcg/4.5mcg(120D),DuoResp Spiromax,Inh,160mcg/4.5mcg(120D),Budesonide,88888.14,2660,33.416593984962404,0302000K0AAAMAM,Budesonide/Formoterol_InhaB/A 200/6(120D,Budesonide/Formoterol,InhaB/A,200/6(120D,Budesonide,38332,1018,37.654223968565816,-4.237629983603412
0101021B0AH,0101021B0BIABAH,Peptac_Liq (Peppermint) S/F,Peptac,Liq,(Peppermint) S/F,Alginic Acid Compound Preparations,5709.03,2590,2.204258687258687,0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F,Alginate,Raft-Forming,Oral Susp S/F,Alginic Acid Compound Preparations,1010.63,350,2.887514285714286,-0.6832555984555988
0301020T0AA,0301020T0BBAAAA,Incruse Ellipta_Inh 55mcg (30D),Incruse Ellipta,Inh,55mcg (30D),Umeclidinium Brom,81950,2584,31.71439628482972,0301020T0AAAAAA,Umeclidinium Brom_Inh 65mcg (30D),Umeclidinium Brom,Inh,65mcg (30D),Umeclidinium Brom,10972.5,345,31.804347826086957,-0.08995154125723559
0906040G0EB,0906040G0DMAAEB,Calci-D_Tab Chble 1g/1 000u,Calci-D,Tab,Chble 1g/1 000u,Colecalciferol,6173.33,2568,2.4039447040498443,0906040G0AAEBEB,Colecal & Calc_Tab Chble 1 000u/2.5g,Colecal & Calc,Tab,Chble 1 000u/2.5g,Colecalciferol,478.29,199,2.403467336683417,4.773673664271172e-4
0302000C0BV,0302000C0BPACBV,Clenil Modulite_Inha 200mcg (200D),Clenil Modulite,Inha,200mcg (200D),Beclometasone Dipropionate,48574.68,2480,19.586564516129034,0302000C0AABVBV,Beclomet Diprop_Inha 200mcg (200 D) CFF,Beclomet Diprop,Inha,200mcg (200 D) CFF,Beclometasone Dipropionate,420.4200000000001,19,22.127368421052637,-2.540803904923603
0302000C0BZ,0302000C0BQABBZ,Fostair_Inh 200mcg/6mcg (120D) CFF,Fostair,Inh,200mcg/6mcg (120D) CFF,Beclometasone Dipropionate,79339.92,2341,33.89146518581803,0302000C0AABZBZ,Beclomet/Formoterol_Inh 200/6 (120D) CFF,Beclomet/Formoterol,Inh,200/6 (120D) CFF,Beclometasone Dipropionate,3401.12,101,33.67445544554455,0.21700974027347542
0101021B0AH,0101021B0BIAAAH,Peptac_Liq (Aniseed) S/F,Peptac,Liq,(Aniseed) S/F,Alginic Acid Compound Preparations,5291.59,2328,2.2730197594501718,0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F,Alginate,Raft-Forming,Oral Susp S/F,Alginic Acid Compound Preparations,1010.63,350,2.887514285714286,-0.6144945262641142
0301011R0AP,0301011R0BIAFAP,Salamol_Inha 100mcg (200 D) CFF (Teva),Salamol,Inha,100mcg (200 D) CFF (Teva),Salbutamol,4438.4,2314,1.9180639585133965,0301011R0AAAPAP,Salbutamol_Inha 100mcg (200 D) CFF,Salbutamol,Inha,100mcg (200 D) CFF,Salbutamol,89460.93,47115,1.8987780961477234,0.01928586236567309
0601012D0BZ,0601012D0BBAVBZ,Ins Humulin M3_KwikPen 100u/ml 3ml PfPen,Ins Humulin M3,KwikPen,100u/ml 3ml PfPen,Biphasic Isophane Insulin,78180.76,2274,34.38028144239226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0407020B0AH,0407020B0BHAAAH,Butec_Transdermal Patch 5mcg/hr,Butec,Transdermal,Patch 5mcg/hr,Buprenorphine,17593.84,2238,7.861411974977659,0407020B0AAAHAH,Buprenorphine_Patch 5mcg/hr (7day),Buprenorphine,Patch,5mcg/hr (7day),Buprenorphine,13442,751,17.898801597869507,-10.037389622891848
130201000A0,130201000BBKFA0,Dermol_Crm,Dermol,Crm,NA,Other Emollient Preps,15224.67,2233,6.818034034930586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0301020Q0AC,0301020Q0BBACAC,Spiriva Respimat_Inha 2.5mcg (60D) + Dev,Spiriva Respimat,Inha,2.5mcg (60D) + Dev,Tiotropium,59087,2229,26.50829968595783,0301020Q0AAACAC,Tiotropium_Inha 2.5mcg (60D) CFF + Dev,Tiotropium,Inha,2.5mcg (60D) CFF + Dev,Tiotropium,44068,1673,26.340705319784817,0.16759436617301304
0702010G0AG,0702010G0BCABAG,Vagifem_Vag Tab 10mcg,Vagifem,Vag,Tab 10mcg,Estradiol,36219.14,2190,16.538420091324202,0702010G0AAAGAG,Estradiol_Pess 10mcg,Estradiol,Pess,10mcg,Estradiol,32605.63,1995,16.34367418546366,0.1947459058605432
0302000N0AZ,0302000N0BCACAZ,Seretide 500_Accuhaler 500mcg/50mcg(60D),Seretide 500,Accuhaler,500mcg/50mcg(60D),Fluticasone Propionate (Inh),105491.76,2177,48.457400091869545,0302000N0AAAZAZ,Fluticasone/Salmeterol_Inh 500/50mcg 60D,Fluticasone/Salmeterol,Inh,500/50mcg 60D,Fluticasone Propionate (Inh),36705.24,785,46.75826751592356,1.6991325759459812
0302000C0BF,0302000C0BJABBF,Qvar 100_Inha 100mcg (200 D),Qvar 100,Inha,100mcg (200 D),Beclometasone Dipropionate,44229.7,2176,20.326148897058822,0302000C0AABFBF,Beclomet Diprop_Inha 100mcg (200 D) CFF,Beclomet Diprop,Inha,100mcg (200 D) CFF,Beclometasone Dipropionate,2530.22,292,8.66513698630137,11.661011910757452
0302000K0AU,0302000K0BDACAU,Symbicort_Turbohaler 400mcg/12mcg (60 D),Symbicort,Turbohaler,400mcg/12mcg (60 D),Budesonide,86575.24,2130,40.64565258215963,0302000K0AAAUAU,Budesonide/Formoterol_InhaB/A 400/12(60D,Budesonide/Formoterol,InhaB/A,400/12(60D,Budesonide,21700,537,40.4096834264432,0.2359691557164254
0302000N0BG,0302000N0BCAFBG,Seretide 250_Evohaler 250mcg/25mcg(120D),Seretide 250,Evohaler,250mcg/25mcg(120D),Fluticasone Propionate (Inh),149354.28,2050,72.85574634146342,0302000N0AABGBG,Fluticasone/Salmeterol_Inh 250/25mcg120D,Fluticasone/Salmeterol,Inh,250/25mcg120D,Fluticasone Propionate (Inh),68342.52,931,73.40764769065521,-0.5519013491917946
0601060D0A0,0601060D0CSAAA0,Mobile (Reagent)_Strips,Mobile (Reagent),Strips,NA,Glucose Blood Testing Reagents,51408.54,2044,25.150949119373777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0302000C0BY,0302000C0BRAABY,Fostair NEXThaler_Inh 100mcg/6mcg (120D),Fostair NEXThaler,Inh,100mcg/6mcg (120D),Beclometasone Dipropionate,67201.44,2038,32.97421000981355,0302000C0AABYBY,Beclomet/Formoterol_Inh 100/6 (120D) Dry,Beclomet/Formoterol,Inh,100/6 (120D) Dry,Beclometasone Dipropionate,2814.72,81,34.749629629629624,-1.775419619816077
0408010C0AG,0408010C0BBAEAG,Tegretol Prolonged Release_Tab 200mg M/R,Tegretol Prolonged Release,Tab,200mg M/R,Carbamazepine,13915.61,2030,6.854980295566503,0408010C0AAAGAG,Carbamazepine_Tab 200mg M/R,Carbamazepine,Tab,200mg M/R,Carbamazepine,2216.94,395,5.612506329113924,1.2424739664525788
0408010W0A2,0408010W0BBALA2,Epilim Chrono 500_Tab 500mg C/R,Epilim Chrono 500,Tab,500mg C/R,Sodium Valproate,39739.17,2016,19.71188988095238,0408010W0AAA2A2,Sod Valpr_Tab 500mg M/R,Sod Valpr,Tab,500mg M/R,Sodium Valproate,7313.02,545,13.418385321100919,6.293504559851462
1404000F0AW,1404000F0BLAAAW,Revaxis_Vac 0.5ml Pfs,Revaxis,Vac,0.5ml Pfs,Diphtheria,15639,2005,7.8,1404000F0AAAWAW,Dip Tet Polio Inact (Ad)_Vac 0.5ml Pfs,Dip Tet Polio Inact (Ad),Vac,0.5ml Pfs,Diphtheria,507,65,7.8,0
0402030K0AF,0402030K0BFAAAF,Priadel_Tab 400mg,Priadel,Tab,400mg,Lithium Carbonate,2968.63,1966,1.5099847405900306,0402030K0AAAFAF,Lithium Carb_Tab 400mg M/R,Lithium Carb,Tab,400mg M/R,Lithium Carbonate,325.18,221,1.4714027149321267,0.03858202565790392
0302000K0AU,0302000K0BHABAU,DuoResp Spiromax_Inh 320mcg/9mcg (60 D),DuoResp Spiromax,Inh,320mcg/9mcg (60 D),Budesonide,72246.51,1965,36.76667175572519,0302000K0AAAUAU,Budesonide/Formoterol_InhaB/A 400/12(60D,Budesonide/Formoterol,InhaB/A,400/12(60D,Budesonide,21700,537,40.4096834264432,-3.6430116707180105
0301011R0BU,0301011R0BIAGBU,Salamol E-Breathe_Inh 100mcg (200 D) CFF,Salamol E-Breathe,Inh,100mcg (200 D) CFF,Salbutamol,15561,1964,7.923116089613035,0301011R0AABUBU,Salbutamol_Inha B/A 100mcg (200 D) CFF,Salbutamol,Inha,B/A 100mcg (200 D) CFF,Salbutamol,25250.329999999998,3212,7.861248443337484,0.06186764627555075
0906040G0CS,0906040G0CJAACS,Desunin_Tab 800u,Desunin,Tab,800u,Colecalciferol,9599.43,1942,4.9430638516992795,0906040G0AACSCS,Colecal_Tab 800u,Colecal,Tab,800u,Colecalciferol,6414.37,1473,4.354630006788867,0.588433844910413
090402000A0,090402000BBAJA0,Fortisip Bottle_Liq (8 Flav),Fortisip Bottle,Liq,(8 Flav),Enteral Nutrition,37030.56,1940,19.087917525773193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304000V0CB,1304000V0CBABCB,Timodine_Crm,Timodine,Crm,NA,Hydrocortisone,7626.19,1907,3.9990508652333507,1304000V0AACBCB,Gppe Crm_Timodine,Gppe Crm,Timodine,NA,Hydrocortisone,3.37,1,3.37,0.6290508652333506
0601060D0A0,0601060D0DGAAA0,Contour Next (Reagent)_Strips,Contour Next (Reagent),Strips,NA,Glucose Blood Testing Reagents,75079.68,1852,40.53978401727861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0301040W0AA,0301040W0BBAAAA,Anoro Ellipta_Inha 55mcg/22mcg (30D),Anoro Ellipta,Inha,55mcg/22mcg (30D),Umeclidinium Brom/Vilanterol,66105,1848,35.771103896103895,0301040W0AAAAAA,Umeclidinium/Vilanterol_Inha 65/22mcg30D,Umeclidinium/Vilanterol,Inha,65/22mcg30D,Umeclidinium Brom/Vilanterol,5882.5,164,35.86890243902439,-0.0977985429204935
